city,state,lat,lon,signal_count,unrest_score
Los Angeles,CA,34.1141,-118.4068,34,61.4
Seattle,WA,47.6211,-122.3244,9,10.28
Portland,OR,45.5371,-122.65,7,5.96
Alameda,CA,37.7668,-122.267,1,3.6
New York,NY,40.6943,-73.9249,5,2.5
Chicago,IL,41.8375,-87.6866,5,1.7
Mexico,MO,39.1625,-91.8712,1,1.35
Amarillo,TX,35.1984,-101.8316,1,1.35
Man,WV,37.7522,-81.8923,1,0.9
West Covina,CA,34.0555,-117.9113,1,0.9
Fairfield,CA,38.2583,-122.0335,1,0.9
University,FL,28.0771,-82.4335,1,0.54
Columbia,SC,34.0378,-80.9036,1,0.54
Washington,DC,38.9047,-77.0163,1,0.36
Worcester,MA,42.2705,-71.8079,1,0.36
